common_name,pubchem_id,flavor_profile,detail_url,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,IUPACName
CID 18219228,18219228,sweet,,18219228,C17H22N4O7,394.4,C1=CC=C(C=C1)CC(C(=O)NC(CC(=O)O)C(=O)O)NC(=O)C(CC(=O)N)N,C1=CC=C(C=C1)CC(C(=O)NC(CC(=O)O)C(=O)O)NC(=O)C(CC(=O)N)N,"2-[[2-[(2,4-diamino-4-oxobutanoyl)amino]-3-phenylpropanoyl]amino]butanedioic acid"
CID 18219234,18219234,sweet,,18219234,C19H28N4O5,392.4,CCC(C)C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)N)N,CCC(C)C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)N)N,"2-[[2-[(2,4-diamino-4-oxobutanoyl)amino]-3-phenylpropanoyl]amino]-3-methylpentanoic acid"
CID 18219235,18219235,sweet,,18219235,C19H28N4O5,392.4,CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)N)N,CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)N)N,"2-[[2-[(2,4-diamino-4-oxobutanoyl)amino]-3-phenylpropanoyl]amino]-4-methylpentanoic acid"
Asn-Phe-Lys,18219236,sweet,,18219236,C19H29N5O5,407.5,C1=CC=C(C=C1)CC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(CC(=O)N)N,C1=CC=C(C=C1)CC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(CC(=O)N)N,"6-amino-2-[[2-[(2,4-diamino-4-oxobutanoyl)amino]-3-phenylpropanoyl]amino]hexanoic acid"
CID 18219276,18219276,sweet,,18219276,C16H22N4O6,366.37,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CO)NC(=O)C(CC(=O)N)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CO)NC(=O)C(CC(=O)N)N,"2-[[2-[(2,4-diamino-4-oxobutanoyl)amino]-3-hydroxypropanoyl]amino]-3-phenylpropanoic acid"
CID 18219354,18219354,sweet,,18219354,C18H26N4O5,378.4,CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)N)N,CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)N)N,"2-[[2-[(2,4-diamino-4-oxobutanoyl)amino]-3-methylbutanoyl]amino]-3-phenylpropanoic acid"
CID 18219374,18219374,sweet,,18219374,C16H21N3O6,351.35,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)O)N,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)O)N,3-amino-4-[[1-[(1-carboxy-2-phenylethyl)amino]-1-oxopropan-2-yl]amino]-4-oxobutanoic acid
CID 18219392,18219392,sweet,,18219392,C19H28N6O6,436.5,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N,3-amino-4-[[1-[(1-carboxy-2-phenylethyl)amino]-5-(diaminomethylideneamino)-1-oxopentan-2-yl]amino]-4-oxobutanoic acid
CID 18219411,18219411,sweet,,18219411,C17H22N4O7,394.4,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(CC(=O)O)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)N)NC(=O)C(CC(=O)O)N,"3-amino-4-[[4-amino-1-[(1-carboxy-2-phenylethyl)amino]-1,4-dioxobutan-2-yl]amino]-4-oxobutanoic acid"
CID 18219449,18219449,sweet,,18219449,C16H21N3O6S,383.4,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CS)NC(=O)C(CC(=O)O)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CS)NC(=O)C(CC(=O)O)N,3-amino-4-[[1-[(1-carboxy-2-phenylethyl)amino]-1-oxo-3-sulfanylpropan-2-yl]amino]-4-oxobutanoic acid
CID 18219468,18219468,sweet,,18219468,C18H23N3O8,409.4,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)N,4-[(2-amino-3-carboxypropanoyl)amino]-5-[(1-carboxy-2-phenylethyl)amino]-5-oxopentanoic acid
CID 18219488,18219488,sweet,,18219488,C18H24N4O7,408.4,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(CC(=O)O)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(CC(=O)O)N,"3-amino-4-[[5-amino-1-[(1-carboxy-2-phenylethyl)amino]-1,5-dioxopentan-2-yl]amino]-4-oxobutanoic acid"
CID 18219506,18219506,sweet,,18219506,C15H19N3O6,337.33,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CNC(=O)C(CC(=O)O)N,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CNC(=O)C(CC(=O)O)N,3-amino-4-[[2-[(1-carboxy-2-phenylethyl)amino]-2-oxoethyl]amino]-4-oxobutanoic acid
